<K> = 1        huffman_code = 0000011100111
<H> = 1        huffman_code = 0000011100110
<3> = 1        huffman_code = 0000011100101
<V> = 1        huffman_code = 0000011100100
<L> = 1        huffman_code = 0000011000011
<O> = 1        huffman_code = 0000011000010
<:> = 2        huffman_code = 010001100001
<4> = 2        huffman_code = 010001100000
<8> = 2        huffman_code = 000001111111
<N> = 2        huffman_code = 000001111110
<;> = 2        huffman_code = 000001111101
<J> = 2        huffman_code = 000001111100
<R> = 3        huffman_code = 000001100000
<F> = 3        huffman_code = 11101001011
<j> = 3        huffman_code = 11101001010
<9> = 3        huffman_code = 01000111111
<P> = 4        huffman_code = 01000111110
<D> = 4        huffman_code = 01000110011
<6> = 4        huffman_code = 01000110010
<M> = 4        huffman_code = 01000110001
<q> = 5        huffman_code = 00000111000
<W> = 5        huffman_code = 00000110001
<C> = 6        huffman_code = 1110100111
<5> = 6        huffman_code = 1110100110
<S> = 7        huffman_code = 1110100100
<-> = 7        huffman_code = 1110100011
<G> = 7        huffman_code = 1110100010
<z> = 8        huffman_code = 0100011110
<2> = 8        huffman_code = 0100011011
<7> = 8        huffman_code = 0100011010
<B> = 9        huffman_code = 0000011110
<A> = 9        huffman_code = 0000011101
<E> = 10       huffman_code = 0000011011
<x> = 10       huffman_code = 0000011010
<0> = 10       huffman_code = 0000011001
<I> = 15       huffman_code = 111010000
<1> = 16       huffman_code = 010001110
<k> = 22       huffman_code = 11101011
<T> = 22       huffman_code = 11101010
<.> = 56       huffman_code = 1010001
<,> = 62       huffman_code = 1010000
<w> = 69       huffman_code = 0100010
<y> = 88       huffman_code = 0000010
<v> = 91       huffman_code = 111011
<b> = 106      huffman_code = 101001
<p> = 138      huffman_code = 010000
<f> = 139      huffman_code = 000011
<g> = 144      huffman_code = 000010
<m> = 182      huffman_code = 000000
<c> = 196      huffman_code = 11100
<u> = 200      huffman_code = 10101
<l> = 229      huffman_code = 01101
<d> = 254      huffman_code = 01100
<h> = 259      huffman_code = 01001
<s> = 385      huffman_code = 1111
<r> = 423      huffman_code = 1011
<o> = 428      huffman_code = 1001
<i> = 437      huffman_code = 1000
<n> = 471      huffman_code = 0111
<a> = 520      huffman_code = 0101
<t> = 553      huffman_code = 0001
<e> = 793      huffman_code = 110
< > = 1161     huffman_code = 001
<Ea> = 1        huffman_code = 010011001111
<hs> = 1        huffman_code = 010011001110
<a,> = 1        huffman_code = 010011001101
<ze> = 1        huffman_code = 010011001100
<eq> = 1        huffman_code = 010011001011
<: > = 1        huffman_code = 010011001010
<g,> = 1        huffman_code = 010011001001
<ft> = 1        huffman_code = 010011001000
<go> = 1        huffman_code = 010011000111
<da> = 1        huffman_code = 010011000110
